Gene
AT1G01160
AT1G01650
AT1G01910
AT1G01960
AT1G01970
AT1G01990
AT1G02335
AT1G03090
AT1G03130
AT1G03150
AT1G03280
AT1G03600
AT1G03687
AT1G03760
AT1G04080
AT1G04630
AT1G05055
AT1G05060
AT1G05160
AT1G05320
AT1G05350
AT1G05430
AT1G05805
AT1G05830
AT1G06240
AT1G06410
AT1G06870
AT1G07300
AT1G07310
AT1G07320
AT1G07660
AT1G07790
AT1G08110
AT1G08300
AT1G08530
AT1G08750
AT1G09070
AT1G09130
AT1G09640
AT1G09820
AT1G09840
AT1G09920
AT1G10090
AT1G10130
AT1G10380
AT1G10940
AT1G11180
AT1G11320
AT1G11360
AT1G12230
AT1G12370
AT1G12390
AT1G12430
AT1G12530
AT1G12650
AT1G13790
AT1G14345
AT1G15250
AT1G15300
AT1G15500
AT1G15510
AT1G15830
AT1G16260
AT1G16630
AT1G16960
AT1G16970
AT1G17550
AT1G17680
AT1G18370
AT1G18440
AT1G18670
AT1G18800
AT1G19025
AT1G19360
AT1G19400
AT1G19630
AT1G19690
AT1G20570
AT1G20930
AT1G21060
AT1G21170
AT1G21190
AT1G21640
AT1G21680
AT1G21880
AT1G21930
AT1G22275
AT1G22800
AT1G23140
AT1G24040
AT1G24240
AT1G24625
AT1G24764
AT1G25380
AT1G26640
AT1G26740
AT1G27000
AT1G27120
AT1G27520
AT1G27600
AT1G27680
AT1G28260
AT1G28380
AT1G29030
AT1G29070
AT1G29220
AT1G29400
AT1G29418
AT1G29440
AT1G29660
AT1G29785
AT1G29810
AT1G30010
AT1G30110
AT1G30550
AT1G30640
AT1G30680
AT1G31010
AT1G31130
AT1G31300
AT1G31470
AT1G31860
AT1G32220
AT1G32490
AT1G32580
AT1G32790
AT1G32860
AT1G33770
AT1G34460
AT1G34630
AT1G35350
AT1G36070
AT1G43245
AT1G44780
AT1G44890
AT1G45545
AT1G47250
AT1G47410
AT1G48170
AT1G48620
AT1G48790
AT1G49580
AT1G49820
AT1G49950
AT1G49990
AT1G50140
AT1G50570
AT1G50732
AT1G50840
AT1G50900
AT1G52150
AT1G52280
AT1G52342
AT1G52570
AT1G52740
AT1G52870
AT1G52880
AT1G52980
AT1G53460
AT1G53520
AT1G53670
AT1G53770
AT1G54060
AT1G54090
AT1G54110
AT1G54290
AT1G54510
AT1G54610
AT1G54770
AT1G54830
AT1G55040
AT1G55090
AT1G55260
AT1G55535
AT1G55620
AT1G55900
AT1G56070
AT1G56110
AT1G56210
AT1G56230
AT1G56260
AT1G57600
AT1G58210
AT1G58390
AT1G59710
AT1G60270
AT1G60430
AT1G60640
AT1G60800
AT1G60870
AT1G61170
AT1G61350
AT1G61640
AT1G61760
AT1G61990
AT1G62010
AT1G62040
AT1G62240
AT1G62790
AT1G63080
AT1G63160
AT1G63300
AT1G63360
AT1G63490
AT1G63680
AT1G63980
AT1G64380
AT1G64650
AT1G64950
AT1G65270
AT1G65660
AT1G65930
AT1G66050
AT1G66340
AT1G66350
AT1G66520
AT1G66580
AT1G66590
AT1G67620
AT1G67690
AT1G67830
AT1G68400
AT1G68725
AT1G68940
AT1G68945
AT1G69210
AT1G69290
AT1G69526
AT1G69610
AT1G69780
AT1G69850
AT1G70160
AT1G70410
AT1G71060
AT1G71070
AT1G71340
AT1G72040
AT1G72050
AT1G72130
AT1G72190
AT1G72330
AT1G72770
AT1G72800
AT1G73130
AT1G73240
AT1G73380
AT1G73470
AT1G73630
AT1G73650
AT1G73760
AT1G74230
AT1G74380
AT1G75090
AT1G75230
AT1G76050
AT1G76080
AT1G76520
AT1G76590
AT1G76730
AT1G77310
AT1G77470
AT1G77540
AT1G77740
AT1G78440
AT1G78880
AT1G78882
AT1G78900
AT1G79050
AT1G79070
AT1G79550
AT1G79670
AT1G79940
AT1G80020
AT1G80210
AT1G80350
AT1G80400
AT1G80750
AT2G01830
AT2G01860
AT2G02040
AT2G02230
AT2G02390
AT2G03440
AT2G03505
AT2G03760
AT2G03980
AT2G04170
AT2G04340
AT2G05840
AT2G05920
AT2G06510
AT2G07440
AT2G07680
AT2G12400
AT2G13100
AT2G13600
AT2G14530
AT2G15080
AT2G15290
AT2G15310
AT2G15430
AT2G16370
AT2G16890
AT2G17410
AT2G17520
AT2G17650
AT2G17700
AT2G17970
AT2G18390
AT2G18730
AT2G18860
AT2G18990
AT2G19120
AT2G19540
AT2G19850
AT2G19870
AT2G19940
AT2G20780
AT2G20950
AT2G21170
AT2G21960
AT2G22640
AT2G22870
AT2G23380
AT2G23460
AT2G24640
AT2G24762
AT2G25140
AT2G25210
AT2G25420
AT2G25580
AT2G25640
AT2G25710
AT2G25920
AT2G26060
AT2G26230
AT2G26280
AT2G26470
AT2G26980
AT2G27350
AT2G27380
AT2G27460
AT2G27510
AT2G27840
AT2G27920
AT2G28070
AT2G28130
AT2G28320
AT2G28600
AT2G30160
AT2G30910
AT2G30950
AT2G31810
AT2G31890
AT2G32230
AT2G32280
AT2G32390
AT2G32560
AT2G32640
AT2G32920
AT2G33370
AT2G33560
AT2G33730
AT2G34300
AT2G35190
AT2G35260
AT2G35340
AT2G36145
AT2G36800
AT2G36880
AT2G36970
AT2G37050
AT2G37250
AT2G37410
AT2G37690
AT2G38330
AT2G38730
AT2G39020
AT2G39190
AT2G39420
AT2G39460
AT2G40120
AT2G41460
AT2G41600
AT2G41620
AT2G41630
AT2G41680
AT2G42380
AT2G42490
AT2G42890
AT2G43330
AT2G43430
AT2G43780
AT2G44350
AT2G44530
AT2G44630
AT2G44640
AT2G44900
AT2G45270
AT2G45910
AT2G46505
AT2G46800
AT2G46915
AT2G47250
AT2G47760
AT2G47990
AT3G01100
AT3G01510
AT3G01590
AT3G01610
AT3G01640
AT3G01690
AT3G02130
AT3G02210
AT3G02360
AT3G02380
AT3G02510
AT3G02530
AT3G02890
AT3G03220
AT3G03520
AT3G03720
AT3G03740
AT3G04030
AT3G04350
AT3G04560
AT3G04720
AT3G04790
AT3G06010
AT3G06070
AT3G06360
AT3G06400
AT3G06580
AT3G06660
AT3G07050
AT3G07400
AT3G07640
AT3G07700
AT3G08820
AT3G09030
AT3G09690
AT3G09810
AT3G10210
AT3G10540
AT3G11270
AT3G11450
AT3G11530
AT3G11590
AT3G12050
AT3G12620
AT3G12630
AT3G12920
AT3G12930
AT3G13740
AT3G13810
AT3G14075
AT3G14205
AT3G14790
AT3G16370
AT3G16390
AT3G16470
AT3G16520
AT3G16810
AT3G17040
AT3G17240
AT3G17340
AT3G17712
AT3G17860
AT3G17880
AT3G18160
AT3G18210
AT3G18440
AT3G18780
AT3G19020
AT3G19040
AT3G19270
AT3G19420
AT3G19540
AT3G19650
AT3G19740
AT3G20570
AT3G20630
AT3G21010
AT3G21070
AT3G21160
AT3G21220
AT3G21510
AT3G21650
AT3G21750
AT3G22231
AT3G22970
AT3G23540
AT3G24010
AT3G24150
AT3G24420
AT3G24590
AT3G24840
AT3G25030
AT3G25540
AT3G25560
AT3G25610
AT3G25620
AT3G26090
AT3G26540
AT3G26580
AT3G26780
AT3G27400
AT3G27560
AT3G27930
AT3G27980
AT3G28050
AT3G28660
AT3G28730
AT3G29230
AT3G32940
AT3G43960
AT3G44010
AT3G44750
AT3G44960
AT3G45160
AT3G45830
AT3G46100
AT3G46440
AT3G46658
AT3G46660
AT3G46780
AT3G47070
AT3G47080
AT3G48210
AT3G48410
AT3G48720
AT3G48780
AT3G48930
AT3G48990
AT3G49180
AT3G49310
AT3G49640
AT3G50360
AT3G50430
AT3G50560
AT3G50620
AT3G50920
AT3G51330
AT3G52360
AT3G52640
AT3G53440
AT3G53520
AT3G53680
AT3G53710
AT3G53970
AT3G54080
AT3G54170
AT3G54250
AT3G54860
AT3G54890
AT3G54910
AT3G55170
AT3G55410
AT3G55430
AT3G55460
AT3G55480
AT3G55560
AT3G55610
AT3G55770
AT3G55920
AT3G56040
AT3G56050
AT3G56450
AT3G57400
AT3G58670
AT3G58730
AT3G58800
AT3G58865
AT3G59920
AT3G59980
AT3G60350
AT3G60840
AT3G61080
