"","Network","degree","betweenness","closeness","eigenvector","degree_pval","betweenness_pval","closeness_pval","eigenvector_pval"
"1","GLOBAL",0.98616967747938,0.917720150952799,0.133346392753353,13.4498211368309,0,0,0,0
"2","GIL1",0.139466789770555,-0.420693224180592,-0.162414478521438,1.75543163015093,0.033,0.106,0,0.261
"3","GIL10",0.41151581189378,0.689159974350419,0.0873794134841006,3.53521383410318,0,0.008,0.006,0
"4","GIL11",-0.366740967096411,-0.440417763194784,-0.0552615680215744,-7.57118668440795,0,0.064,0,0
"5","GIL12",0.107952075874036,0.0970144150379841,0.0678350278671296,-3.94066733310151,0.332,0.792,0.225,0.005
"6","GIL13",0.404262887315982,-0.513552201920785,0.125639829880136,4.59506455174704,0,0.081,0.004,0
"7","GIL14",-0.421079451210837,0.126757448215175,0.00445254261605399,0.461495037760997,0,0.623,0.913,0.683
"8","GIL15",-0.00778343205746568,0.350755601145603,5.8375381810194e-05,1.21759634411266,0.939,0.149,0.997,0.333
"9","GIL16",-0.174310000691779,-0.780540451033822,-0.191893813474403,3.30153217949387,0.052,0.007,0,0
"10","GIL17",0.328298759160083,-0.0611949359225532,-0.12786737428875,7.95594989614805,0.001,0.838,0.001,0
"11","GIL18",0.0986045347706368,0.591957016504514,0.128112223830103,0.476826739256132,0.277,0.017,0,0.284
"12","GIL19",0.0891946650101496,0.558951148634229,0.0749023193232539,-1.47917439667656,0.147,0.011,0.017,0.046
"13","GIL2",0.120824178248828,0.607845359432434,0.149418419633884,1.61319622168082,0.116,0.011,0,0.064
"14","GIL20",-0.235561358589258,-0.460020771193659,-0.151660279671351,-0.231214273416043,0,0.078,0,0.636
"15","GIL21",0.120429075966731,-0.0524901691424526,0.145975893353221,1.45804464078546,0.258,0.862,0,0.122
"16","GIL22",0.07383565015324,0.283919026364723,0.017583135025566,3.37337981511062,0.252,0.258,0.667,0.01
"17","GIL23",0.0658015193612467,0.24005449853609,-0.172090742465643,0.728753832128944,0.749,0.496,0.055,0.18
"18","GIL24",-0.0308877718659711,-0.689416747703843,-0.00334153882472954,-0.715516758590205,0.591,0.015,0.923,0.415
"19","GIL25",-0.100405608019174,0.461092866218288,0.0491409014219908,-12.6463396041624,0.109,0.07,0.001,0
