"","Network","degree","betweenness","closeness","eigenvector","degree_pval","betweenness_pval","closeness_pval","eigenvector_pval"
"75","GIL8",-0.333719861095221,-0.422346291099284,-0.135411987532054,-0.480220832210982,0.006,0.358,0.012,0.818
"76","GIL80",-0.0137953534005575,0.765386801207024,0.00974896839988304,-3.28034879004767,0.884,0.007,0.794,0.003
"77","GIL81",0.0646576040452009,0.477839379065446,0.110447852174335,-0.261608752240611,0.726,0.314,0.244,0.759
"78","GIL82",-0.410584072534665,-0.531417849964665,-0.188473212481956,-4.83784362077071,0,0.183,0,0
"79","GIL83",-0.487460450237552,-0.331657887753187,-0.244250653425638,-6.2830461745355,0.012,0.583,0.021,0.012
"80","GIL84",-0.237165145997771,-0.316246339510208,0.00818448225785673,1.82687253168547,0.014,0.316,0.801,0.177
"81","GIL85",0.116844515480969,0.784833021420267,0.12516429761922,3.83933285829021,0.298,0.038,0.012,0
"82","GIL86",-0.127511918398123,-0.0641166445151775,-0.0334223973931049,-2.72795949287893,0.099,0.845,0.332,0.005
"83","GIL87",0.0794331450004669,0.648796529661081,0.0234811567569633,0.775988296181179,0.288,0.171,0.486,0.625
"84","GIL88",0.0796244835626656,-0.682582534979036,-0.00858512138571932,-2.38963468502482,0.354,0.036,0.838,0.136
"85","GIL89",0.087611423955368,0.717653131465988,0.0558771942050704,1.00237533449781,0.571,0.092,0.476,0.483
"86","GIL9",-0.401242432877324,-0.257339094155639,-0.132128317734169,-5.87334276875433,0.005,0.503,0.001,0.001
"87","GIL90",-0.131979388288454,-0.336061727596868,-0.133305009906012,1.72140744913463,0.363,0.547,0.169,0.051
